Vehicle_Type,Vehicle_Route_Name,Latitude,Longitude,ID,Waypoint_ID
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80730240,120.94013190,TP001,BOCAUE EXIT-SAPANG PALAY_2.2_TP001
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80739000,120.94048000,TP002,BOCAUE EXIT-SAPANG PALAY_2.2_TP002
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80748000,120.94084000,TP003,BOCAUE EXIT-SAPANG PALAY_2.2_TP003
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80752000,120.94101000,TP004,BOCAUE EXIT-SAPANG PALAY_2.2_TP004
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80755000,120.94112000,TP005,BOCAUE EXIT-SAPANG PALAY_2.2_TP005
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80757000,120.94121000,TP006,BOCAUE EXIT-SAPANG PALAY_2.2_TP006
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80762000,120.94140000,TP007,BOCAUE EXIT-SAPANG PALAY_2.2_TP007
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80765000,120.94155000,TP008,BOCAUE EXIT-SAPANG PALAY_2.2_TP008
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80774000,120.94195000,TP009,BOCAUE EXIT-SAPANG PALAY_2.2_TP009
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80776000,120.94204000,TP010,BOCAUE EXIT-SAPANG PALAY_2.2_TP010
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80782000,120.94228000,TP011,BOCAUE EXIT-SAPANG PALAY_2.2_TP011
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80786000,120.94255000,TP012,BOCAUE EXIT-SAPANG PALAY_2.2_TP012
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80789000,120.94278000,TP013,BOCAUE EXIT-SAPANG PALAY_2.2_TP013
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80791000,120.94298000,TP014,BOCAUE EXIT-SAPANG PALAY_2.2_TP014
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80794000,120.94317000,TP015,BOCAUE EXIT-SAPANG PALAY_2.2_TP015
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80795000,120.94324000,TP016,BOCAUE EXIT-SAPANG PALAY_2.2_TP016
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80798000,120.94342000,TP017,BOCAUE EXIT-SAPANG PALAY_2.2_TP017
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80800000,120.94350000,TP018,BOCAUE EXIT-SAPANG PALAY_2.2_TP018
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80802000,120.94360000,TP019,BOCAUE EXIT-SAPANG PALAY_2.2_TP019
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80803000,120.94367000,TP020,BOCAUE EXIT-SAPANG PALAY_2.2_TP020
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80806000,120.94389000,TP021,BOCAUE EXIT-SAPANG PALAY_2.2_TP021
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80811000,120.94414000,TP022,BOCAUE EXIT-SAPANG PALAY_2.2_TP022
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80812000,120.94420000,TP023,BOCAUE EXIT-SAPANG PALAY_2.2_TP023
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80814000,120.94429000,TP024,BOCAUE EXIT-SAPANG PALAY_2.2_TP024
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80816000,120.94439000,TP025,BOCAUE EXIT-SAPANG PALAY_2.2_TP025
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80824000,120.94491000,TP026,BOCAUE EXIT-SAPANG PALAY_2.2_TP026
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80825000,120.94502000,TP027,BOCAUE EXIT-SAPANG PALAY_2.2_TP027
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80828000,120.94514000,TP028,BOCAUE EXIT-SAPANG PALAY_2.2_TP028
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80829000,120.94521000,TP029,BOCAUE EXIT-SAPANG PALAY_2.2_TP029
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80832000,120.94534000,TP030,BOCAUE EXIT-SAPANG PALAY_2.2_TP030
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80832000,120.94539000,TP031,BOCAUE EXIT-SAPANG PALAY_2.2_TP031
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80834000,120.94548000,TP032,BOCAUE EXIT-SAPANG PALAY_2.2_TP032
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80840000,120.94579000,TP033,BOCAUE EXIT-SAPANG PALAY_2.2_TP033
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80845000,120.94604000,TP034,BOCAUE EXIT-SAPANG PALAY_2.2_TP034
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80847000,120.94611000,TP035,BOCAUE EXIT-SAPANG PALAY_2.2_TP035
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80849000,120.94617000,TP036,BOCAUE EXIT-SAPANG PALAY_2.2_TP036
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80853000,120.94628000,TP037,BOCAUE EXIT-SAPANG PALAY_2.2_TP037
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80855000,120.94630000,TP038,BOCAUE EXIT-SAPANG PALAY_2.2_TP038
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80862000,120.94641000,TP039,BOCAUE EXIT-SAPANG PALAY_2.2_TP039
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80878000,120.94662000,TP040,BOCAUE EXIT-SAPANG PALAY_2.2_TP040
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80893000,120.94675000,TP041,BOCAUE EXIT-SAPANG PALAY_2.2_TP041
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80934000,120.94707000,TP042,BOCAUE EXIT-SAPANG PALAY_2.2_TP042
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80945000,120.94715000,TP043,BOCAUE EXIT-SAPANG PALAY_2.2_TP043
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80974000,120.94735000,TP044,BOCAUE EXIT-SAPANG PALAY_2.2_TP044
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.80993000,120.94746000,TP045,BOCAUE EXIT-SAPANG PALAY_2.2_TP045
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81015000,120.94760000,TP046,BOCAUE EXIT-SAPANG PALAY_2.2_TP046
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81063000,120.94789000,TP047,BOCAUE EXIT-SAPANG PALAY_2.2_TP047
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81075000,120.94796000,TP048,BOCAUE EXIT-SAPANG PALAY_2.2_TP048
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81101000,120.94810000,TP049,BOCAUE EXIT-SAPANG PALAY_2.2_TP049
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81163000,120.94840000,TP050,BOCAUE EXIT-SAPANG PALAY_2.2_TP050
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81194000,120.94854000,TP051,BOCAUE EXIT-SAPANG PALAY_2.2_TP051
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81207000,120.94859000,TP052,BOCAUE EXIT-SAPANG PALAY_2.2_TP052
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81243000,120.94876000,TP053,BOCAUE EXIT-SAPANG PALAY_2.2_TP053
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81280000,120.94891000,TP054,BOCAUE EXIT-SAPANG PALAY_2.2_TP054
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81280400,120.94891290,TP055,BOCAUE EXIT-SAPANG PALAY_2.2_TP055
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81289000,120.94889000,TP056,BOCAUE EXIT-SAPANG PALAY_2.2_TP056
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81294000,120.94888000,TP057,BOCAUE EXIT-SAPANG PALAY_2.2_TP057
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81299000,120.94888000,TP058,BOCAUE EXIT-SAPANG PALAY_2.2_TP058
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81343000,120.94887000,TP059,BOCAUE EXIT-SAPANG PALAY_2.2_TP059
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81425000,120.94882000,TP060,BOCAUE EXIT-SAPANG PALAY_2.2_TP060
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81518000,120.94877000,TP061,BOCAUE EXIT-SAPANG PALAY_2.2_TP061
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81603000,120.94872000,TP062,BOCAUE EXIT-SAPANG PALAY_2.2_TP062
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81612000,120.94871000,TP063,BOCAUE EXIT-SAPANG PALAY_2.2_TP063
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81620000,120.94871000,TP064,BOCAUE EXIT-SAPANG PALAY_2.2_TP064
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81638000,120.94871000,TP065,BOCAUE EXIT-SAPANG PALAY_2.2_TP065
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81649000,120.94872000,TP066,BOCAUE EXIT-SAPANG PALAY_2.2_TP066
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81663000,120.94873000,TP067,BOCAUE EXIT-SAPANG PALAY_2.2_TP067
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81675000,120.94876000,TP068,BOCAUE EXIT-SAPANG PALAY_2.2_TP068
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81689000,120.94881000,TP069,BOCAUE EXIT-SAPANG PALAY_2.2_TP069
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81700000,120.94885000,TP070,BOCAUE EXIT-SAPANG PALAY_2.2_TP070
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81706000,120.94889000,TP071,BOCAUE EXIT-SAPANG PALAY_2.2_TP071
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81711000,120.94892000,TP072,BOCAUE EXIT-SAPANG PALAY_2.2_TP072
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81720000,120.94899000,TP073,BOCAUE EXIT-SAPANG PALAY_2.2_TP073
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81721000,120.94899000,TP074,BOCAUE EXIT-SAPANG PALAY_2.2_TP074
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81738000,120.94911000,TP075,BOCAUE EXIT-SAPANG PALAY_2.2_TP075
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81747000,120.94918000,TP076,BOCAUE EXIT-SAPANG PALAY_2.2_TP076
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81753000,120.94922000,TP077,BOCAUE EXIT-SAPANG PALAY_2.2_TP077
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81787000,120.94950000,TP078,BOCAUE EXIT-SAPANG PALAY_2.2_TP078
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81842000,120.94994000,TP079,BOCAUE EXIT-SAPANG PALAY_2.2_TP079
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81852000,120.95002000,TP080,BOCAUE EXIT-SAPANG PALAY_2.2_TP080
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81864000,120.95013000,TP081,BOCAUE EXIT-SAPANG PALAY_2.2_TP081
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81876000,120.95023000,TP082,BOCAUE EXIT-SAPANG PALAY_2.2_TP082
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.81890000,120.95034000,TP083,BOCAUE EXIT-SAPANG PALAY_2.2_TP083
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82004000,120.95125000,TP084,BOCAUE EXIT-SAPANG PALAY_2.2_TP084
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82044000,120.95156000,TP085,BOCAUE EXIT-SAPANG PALAY_2.2_TP085
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82084000,120.95191000,TP086,BOCAUE EXIT-SAPANG PALAY_2.2_TP086
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82091000,120.95196000,TP087,BOCAUE EXIT-SAPANG PALAY_2.2_TP087
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82106000,120.95208000,TP088,BOCAUE EXIT-SAPANG PALAY_2.2_TP088
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82157000,120.95253000,TP089,BOCAUE EXIT-SAPANG PALAY_2.2_TP089
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82209000,120.95296000,TP090,BOCAUE EXIT-SAPANG PALAY_2.2_TP090
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82213000,120.95299000,TP091,BOCAUE EXIT-SAPANG PALAY_2.2_TP091
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82224000,120.95308000,TP092,BOCAUE EXIT-SAPANG PALAY_2.2_TP092
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82253000,120.95333000,TP093,BOCAUE EXIT-SAPANG PALAY_2.2_TP093
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82276000,120.95350000,TP094,BOCAUE EXIT-SAPANG PALAY_2.2_TP094
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82283000,120.95356000,TP095,BOCAUE EXIT-SAPANG PALAY_2.2_TP095
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82297000,120.95367000,TP096,BOCAUE EXIT-SAPANG PALAY_2.2_TP096
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82307000,120.95375000,TP097,BOCAUE EXIT-SAPANG PALAY_2.2_TP097
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82356000,120.95417000,TP098,BOCAUE EXIT-SAPANG PALAY_2.2_TP098
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82419000,120.95469000,TP099,BOCAUE EXIT-SAPANG PALAY_2.2_TP099
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82474000,120.95514000,TP100,BOCAUE EXIT-SAPANG PALAY_2.2_TP100
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82488000,120.95525000,TP101,BOCAUE EXIT-SAPANG PALAY_2.2_TP101
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82565000,120.95589000,TP102,BOCAUE EXIT-SAPANG PALAY_2.2_TP102
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82619000,120.95632000,TP103,BOCAUE EXIT-SAPANG PALAY_2.2_TP103
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82628000,120.95641000,TP104,BOCAUE EXIT-SAPANG PALAY_2.2_TP104
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82699000,120.95710000,TP105,BOCAUE EXIT-SAPANG PALAY_2.2_TP105
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82726000,120.95741000,TP106,BOCAUE EXIT-SAPANG PALAY_2.2_TP106
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82769000,120.95791000,TP107,BOCAUE EXIT-SAPANG PALAY_2.2_TP107
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82781000,120.95808000,TP108,BOCAUE EXIT-SAPANG PALAY_2.2_TP108
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82797000,120.95830000,TP109,BOCAUE EXIT-SAPANG PALAY_2.2_TP109
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82806000,120.95842000,TP110,BOCAUE EXIT-SAPANG PALAY_2.2_TP110
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82822000,120.95865000,TP111,BOCAUE EXIT-SAPANG PALAY_2.2_TP111
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82829000,120.95878000,TP112,BOCAUE EXIT-SAPANG PALAY_2.2_TP112
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82866000,120.95939000,TP113,BOCAUE EXIT-SAPANG PALAY_2.2_TP113
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82893000,120.95993000,TP114,BOCAUE EXIT-SAPANG PALAY_2.2_TP114
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82901000,120.96011000,TP115,BOCAUE EXIT-SAPANG PALAY_2.2_TP115
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82954000,120.96127000,TP116,BOCAUE EXIT-SAPANG PALAY_2.2_TP116
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82978000,120.96178000,TP117,BOCAUE EXIT-SAPANG PALAY_2.2_TP117
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82988000,120.96200000,TP118,BOCAUE EXIT-SAPANG PALAY_2.2_TP118
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.82999000,120.96225000,TP119,BOCAUE EXIT-SAPANG PALAY_2.2_TP119
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83030000,120.96293000,TP120,BOCAUE EXIT-SAPANG PALAY_2.2_TP120
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83035000,120.96304000,TP121,BOCAUE EXIT-SAPANG PALAY_2.2_TP121
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83062000,120.96362000,TP122,BOCAUE EXIT-SAPANG PALAY_2.2_TP122
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83069000,120.96380000,TP123,BOCAUE EXIT-SAPANG PALAY_2.2_TP123
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83089000,120.96423000,TP124,BOCAUE EXIT-SAPANG PALAY_2.2_TP124
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83097000,120.96440000,TP125,BOCAUE EXIT-SAPANG PALAY_2.2_TP125
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83148000,120.96552000,TP126,BOCAUE EXIT-SAPANG PALAY_2.2_TP126
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83166000,120.96591000,TP127,BOCAUE EXIT-SAPANG PALAY_2.2_TP127
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83230000,120.96727000,TP128,BOCAUE EXIT-SAPANG PALAY_2.2_TP128
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83258000,120.96794000,TP129,BOCAUE EXIT-SAPANG PALAY_2.2_TP129
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83311000,120.96907000,TP130,BOCAUE EXIT-SAPANG PALAY_2.2_TP130
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83334000,120.96956000,TP131,BOCAUE EXIT-SAPANG PALAY_2.2_TP131
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83338000,120.96964000,TP132,BOCAUE EXIT-SAPANG PALAY_2.2_TP132
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83344000,120.96977000,TP133,BOCAUE EXIT-SAPANG PALAY_2.2_TP133
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83362000,120.97014000,TP134,BOCAUE EXIT-SAPANG PALAY_2.2_TP134
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83375000,120.97045000,TP135,BOCAUE EXIT-SAPANG PALAY_2.2_TP135
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83387000,120.97072000,TP136,BOCAUE EXIT-SAPANG PALAY_2.2_TP136
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83428000,120.97162000,TP137,BOCAUE EXIT-SAPANG PALAY_2.2_TP137
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83435000,120.97179000,TP138,BOCAUE EXIT-SAPANG PALAY_2.2_TP138
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83466000,120.97246000,TP139,BOCAUE EXIT-SAPANG PALAY_2.2_TP139
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83525000,120.97378000,TP140,BOCAUE EXIT-SAPANG PALAY_2.2_TP140
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83527000,120.97381000,TP141,BOCAUE EXIT-SAPANG PALAY_2.2_TP141
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83532000,120.97391000,TP142,BOCAUE EXIT-SAPANG PALAY_2.2_TP142
BUS,BOCAUE EXIT-SAPANG PALAY_2.2,14.83537000,120.97403000,TP143,BOCAUE EXIT-SAPANG PALAY_2.2_TP143
